,NAME,SEASON,PTS,REB,AST,BLK,STL,G,FG%,3P%,FT%,TS%,USG%,PER,WS,BPM,VORP,SALARY
0,Al Horford,2018-2019,924.8,455.6,285.6,88.4,61.2,68,0.535,0.36,0.821,0.605,18.7,20.2,7.5,4.8,3.4,27800803.75
1,Anthony Davis,2018-2019,1450.3999999999999,672.0,218.4,134.4,89.60000000000001,56,0.517,0.331,0.794,0.597,28.7,30.3,9.5,8.5,4.9,24604884.5
2,Aron Baynes,2018-2019,285.59999999999997,239.70000000000002,56.1,35.699999999999996,10.200000000000001,51,0.47100000000000003,0.344,0.855,0.5670000000000001,14.5,14.0,2.4,0.2,0.5,5323440.0
3,Avery Bradley,2018-2019,623.7,176.39999999999998,151.2,18.9,44.099999999999994,63,0.408,0.35100000000000003,0.86,0.496,15.9,7.6,0.3,-2.8,-0.4,8383500.0
4,Bismack Biyombo,2018-2019,237.60000000000002,248.39999999999998,32.4,43.2,10.8,54,0.5710000000000001,0.0,0.637,0.602,12.6,14.4,2.0,-1.1,0.2,17000000.0
5,Bryn Forbes,2018-2019,967.6,237.79999999999998,172.20000000000002,0.0,41.0,82,0.456,0.426,0.885,0.586,16.9,12.0,3.8,-0.7,0.7,3000000.0
6,Danilo Gallinari,2018-2019,1346.4,414.79999999999995,176.8,20.4,47.599999999999994,68,0.46299999999999997,0.433,0.904,0.633,23.6,21.0,8.2,2.9,2.6,21587579.0
7,Davis Bertans,2018-2019,608.0,266.0,98.8,30.400000000000002,38.0,76,0.45,0.429,0.883,0.632,13.4,13.0,4.0,1.2,1.3,7000000.0
8,Derrick Favors,2018-2019,896.8000000000001,562.4,91.2,106.39999999999999,53.199999999999996,76,0.586,0.218,0.675,0.624,18.5,21.8,7.9,4.3,2.8,17275000.0
9,Draymond Green,2018-2019,488.40000000000003,481.8,455.40000000000003,72.60000000000001,92.39999999999999,66,0.445,0.285,0.6920000000000001,0.526,12.8,12.9,4.3,2.0,2.1,16400000.0
10,Dwight Howard,2018-2019,115.2,82.8,3.6,3.6,7.2,9,0.623,0.0,0.604,0.638,19.2,17.4,0.6,-5.2,-0.2,13410739.0
11,Dwight Powell,2018-2019,816.1999999999999,408.09999999999997,115.5,46.199999999999996,46.199999999999996,77,0.597,0.307,0.772,0.682,16.6,20.4,7.5,4.0,2.5,9317187.5
12,E'Twaun Moore,2018-2019,630.7,127.19999999999999,100.69999999999999,10.600000000000001,42.400000000000006,53,0.48100000000000004,0.43200000000000005,0.763,0.5670000000000001,16.9,11.5,1.7,-2.2,-0.1,8680000.0
13,Edmond Sumner,2018-2019,66.7,23.0,9.200000000000001,4.6000000000000005,11.5,23,0.344,0.259,0.625,0.44299999999999995,15.6,7.6,0.1,-3.6,-0.1,1224897.0
14,Eric Gordon,2018-2019,1101.6,149.60000000000002,129.2,27.200000000000003,40.8,68,0.409,0.36,0.7829999999999999,0.5489999999999999,21.4,12.2,2.6,-2.9,-0.5,13221697.5
15,Fred VanVleet,2018-2019,704.0,166.4,307.2,19.2,57.6,64,0.41,0.37799999999999995,0.843,0.539,17.6,13.7,4.3,0.0,0.9,9000000.0
16,George Hill,2018-2019,456.0,150.0,138.0,6.0,54.0,60,0.452,0.314,0.8240000000000001,0.5539999999999999,14.5,12.1,2.8,-1.0,0.3,16377969.0
17,Goran Dragic,2018-2019,493.2,111.60000000000001,172.79999999999998,3.6,28.8,36,0.413,0.348,0.782,0.517,22.2,13.9,1.6,-1.2,0.2,17000450.0
18,Gordon Hayward,2018-2019,828.0,324.0,244.79999999999998,21.599999999999998,64.8,72,0.466,0.33299999999999996,0.8340000000000001,0.575,18.2,15.6,4.9,0.5,1.2,31214295.0
19,Harrison Barnes,2018-2019,1262.8,361.90000000000003,115.5,15.4,46.199999999999996,77,0.42,0.395,0.8240000000000001,0.55,20.2,12.8,3.6,-2.3,-0.2,23370934.75
20,Hassan Whiteside,2018-2019,885.6,813.6,57.6,136.79999999999998,43.199999999999996,72,0.5710000000000001,0.125,0.449,0.564,21.4,23.5,6.3,0.8,1.2,24354884.0
21,Jae Crowder,2018-2019,952.0,384.0,136.0,32.0,64.0,80,0.39899999999999997,0.331,0.721,0.5379999999999999,18.3,12.1,4.4,0.4,1.3,7000000.0
22,Jahlil Okafor,2018-2019,483.79999999999995,277.3,41.3,41.3,17.7,59,0.586,0.2,0.6629999999999999,0.603,19.6,17.9,2.2,-2.3,-0.1,1634746.5
23,James Harden,2018-2019,2815.8,514.8,585.0,54.599999999999994,156.0,78,0.442,0.368,0.879,0.616,39.5,30.6,15.2,11.7,9.9,30902124.75
24,Jeff Teague,2018-2019,508.2,105.0,344.4,16.8,42.0,42,0.423,0.33299999999999996,0.804,0.528,18.5,15.4,2.2,-2.4,-0.1,19000000.0
25,Jerami Grant,2018-2019,1088.0,416.0,80.0,104.0,64.0,80,0.49700000000000005,0.392,0.71,0.5920000000000001,14.9,13.8,7.3,0.3,1.5,8839743.0
26,Jimmy Butler,2018-2019,1215.5,344.5,260.0,39.0,123.5,65,0.462,0.34700000000000003,0.855,0.5710000000000001,21.7,20.2,7.9,3.2,2.9,21048050.8
27,Joe Harris,2018-2019,1041.2,288.8,182.4,15.200000000000001,38.0,76,0.5,0.474,0.8270000000000001,0.645,16.6,13.5,5.5,1.0,1.7,8000000.0
28,Jonas Valanciunas,2018-2019,764.4,421.4,68.6,53.900000000000006,19.6,49,0.5589999999999999,0.292,0.795,0.616,27.0,24.4,4.2,1.2,0.9,15595506.0
29,Jordan Clarkson,2018-2019,1360.8,267.3,194.4,16.2,56.699999999999996,81,0.44799999999999995,0.324,0.8440000000000001,0.539,26.4,16.8,1.8,-2.0,0.0,12500000.0
30,Julius Randle,2018-2019,1562.1999999999998,635.0999999999999,226.3,43.8,51.099999999999994,73,0.524,0.344,0.731,0.6,27.2,21.0,6.1,1.4,1.9,13320500.0
31,Kawhi Leonard,2018-2019,1596.0,438.0,198.0,24.0,108.0,60,0.496,0.371,0.8540000000000001,0.606,29.8,25.8,9.5,5.0,3.6,21754050.8
32,Kent Bazemore,2018-2019,777.1999999999999,261.3,154.1,40.199999999999996,87.10000000000001,67,0.402,0.32,0.726,0.507,21.4,11.9,0.7,-2.2,-0.1,17500000.0
33,Kevin Durant,2018-2019,2028.0,499.20000000000005,460.20000000000005,85.80000000000001,54.599999999999994,78,0.521,0.353,0.885,0.631,28.2,24.2,11.5,4.3,4.3,33599500.0
34,Kevin Love,2018-2019,374.0,239.8,48.400000000000006,4.4,6.6,22,0.385,0.361,0.904,0.561,25.7,19.5,1.3,-1.7,0.0,23311776.0
35,Khris Middleton,2018-2019,1409.1000000000001,462.0,331.09999999999997,7.7,77.0,77,0.441,0.37799999999999995,0.8370000000000001,0.5579999999999999,24.5,16.5,6.1,0.8,1.7,17520689.6
36,Kyle Korver,2018-2019,602.0,161.0,84.0,14.0,28.0,70,0.41600000000000004,0.397,0.8220000000000001,0.5820000000000001,17.2,11.2,2.3,-1.5,0.2,5708251.0
37,Kyle Lowry,2018-2019,923.0,312.0,565.5,32.5,91.0,65,0.41100000000000003,0.34700000000000003,0.83,0.562,19.0,16.5,6.6,3.1,2.8,31633333.33333333
38,Kyrie Irving,2018-2019,1594.6000000000001,335.0,462.3,33.5,100.5,67,0.48700000000000004,0.401,0.873,0.5920000000000001,28.5,24.3,9.1,6.4,4.7,20951075.6
39,Langston Galloway,2018-2019,672.0,168.0,88.0,8.0,40.0,80,0.38799999999999996,0.355,0.8440000000000001,0.534,15.2,10.7,3.4,-1.3,0.3,7000000.0
40,Marc Gasol,2018-2019,1074.3999999999999,624.1,347.6,86.9,86.9,79,0.44799999999999995,0.363,0.759,0.546,20.9,16.7,6.0,2.8,3.0,22642350.0
41,Mason Plumlee,2018-2019,639.6,524.8000000000001,246.0,73.8,65.60000000000001,82,0.593,0.2,0.561,0.602,15.7,17.8,5.8,3.8,2.6,13666666.666666664
42,Matthew Dellavedova,2018-2019,283.20000000000005,76.80000000000001,182.39999999999998,0.0,14.399999999999999,48,0.405,0.33799999999999997,0.8079999999999999,0.532,17.2,11.1,0.5,-5.5,-0.7,9607500.0
43,Meyers Leonard,2018-2019,359.90000000000003,231.79999999999998,73.2,6.1000000000000005,12.200000000000001,61,0.545,0.45,0.843,0.675,14.7,15.8,3.0,1.4,0.8,10250000.0
44,Montrezl Harrell,2018-2019,1361.2,533.0,164.0,106.60000000000001,73.8,82,0.615,0.17600000000000002,0.643,0.636,22.6,23.4,8.7,4.2,3.4,6000000.0
45,Nerlens Noel,2018-2019,377.3,323.40000000000003,46.199999999999996,92.39999999999999,69.3,77,0.5870000000000001,0.0,0.684,0.608,13.6,19.3,4.3,3.9,1.6,1820148.0
46,Nicolas Batum,2018-2019,697.5,390.0,247.5,45.0,67.5,75,0.45,0.389,0.865,0.581,12.8,11.9,3.7,0.8,1.7,23217391.5
47,Pat Connaughton,2018-2019,420.90000000000003,256.2,122.0,24.400000000000002,30.5,61,0.466,0.33,0.725,0.573,12.9,13.6,3.9,1.6,1.2,1682025.0
48,Patrick McCaw,2018-2019,75.4,49.3,29.0,2.9000000000000004,23.200000000000003,29,0.413,0.321,0.867,0.532,9.1,7.5,0.5,-1.2,0.1,2482052.0
49,Patrick Patterson,2018-2019,226.8,144.89999999999998,31.5,12.600000000000001,18.9,63,0.374,0.336,0.633,0.493,11.7,8.1,1.1,-3.7,-0.4,4325064.333333333
50,Paul Millsap,2018-2019,882.0,504.0,140.0,56.0,84.0,70,0.484,0.365,0.727,0.57,19.0,17.9,6.1,2.4,2.1,30116666.66666667
51,Raul Neto,2018-2019,196.1,62.9,92.5,3.7,14.8,37,0.46,0.33299999999999996,0.848,0.5579999999999999,18.2,13.5,1.1,-1.6,0.0,1918572.5
52,Reggie Jackson,2018-2019,1262.8,213.20000000000002,344.40000000000003,8.200000000000001,57.4,82,0.42100000000000004,0.369,0.8640000000000001,0.547,23.6,15.2,5.0,-0.3,1.0,12485153.0
53,Serge Ibaka,2018-2019,1110.0,599.4,96.2,103.6,29.6,74,0.529,0.29,0.763,0.5820000000000001,22.5,18.7,6.1,0.5,1.3,21666666.666666668
54,Shaquille Harrison,2018-2019,474.5,219.0,138.7,29.200000000000003,87.6,73,0.43200000000000005,0.27,0.667,0.494,15.9,12.4,1.4,-1.3,0.2,1473047.5
55,Solomon Hill,2018-2019,189.2,132.0,57.2,8.8,22.0,44,0.382,0.317,0.7190000000000001,0.49700000000000005,10.3,6.8,0.5,-2.3,-0.1,12500000.0
56,Torrey Craig,2018-2019,427.5,262.5,75.0,45.0,37.5,75,0.442,0.324,0.7,0.547,12.0,10.4,3.0,-0.1,0.7,2000000.0
57,Tristan Thompson,2018-2019,468.7,438.59999999999997,86.0,17.2,30.099999999999998,43,0.529,0.0,0.642,0.551,17.3,18.4,2.6,0.3,0.7,16399826.0
58,Tyler Johnson,2018-2019,621.3000000000001,171.0,165.29999999999998,28.5,51.300000000000004,57,0.413,0.34600000000000003,0.748,0.532,17.9,12.4,2.3,-1.0,0.4,7719436.25
0,Jerami Grant,2019-2020,852.0,248.5,85.2,56.800000000000004,49.699999999999996,71,0.478,0.389,0.75,0.591,18.0,14.4,4.4,-0.5,0.7,8839743.0
1,Kentavious Caldwell-Pope,2019-2020,641.7,144.9,110.4,13.8,55.2,69,0.467,0.385,0.775,0.584,14.7,11.0,3.7,-0.8,0.5,8139282.0
2,Austin Rivers,2019-2020,598.4000000000001,176.8,115.6,6.800000000000001,47.599999999999994,68,0.42100000000000004,0.35600000000000004,0.703,0.542,15.6,10.4,2.4,-2.5,-0.2,2174310.0
3,Wesley Matthews,2019-2020,495.8,167.5,93.8,6.7,40.199999999999996,67,0.396,0.364,0.765,0.547,12.5,8.1,3.2,-1.8,0.1,2564753.0
4,Robin Lopez,2019-2020,356.40000000000003,158.4,46.199999999999996,46.199999999999996,13.200000000000001,66,0.49200000000000005,0.33299999999999996,0.528,0.5539999999999999,16.6,10.2,1.5,-2.6,-0.2,4767000.0
5,JaMychal Green,2019-2020,428.4,390.6,50.400000000000006,25.200000000000003,31.5,63,0.429,0.387,0.75,0.5760000000000001,13.7,11.1,3.1,-0.5,0.5,4767000.0
6,Anthony Davis,2019-2020,1618.2,576.6,198.4,142.6,93.0,62,0.503,0.33,0.846,0.61,29.3,27.4,11.1,8.0,5.4,24604884.5
7,Willie Cauley-Stein,2019-2020,388.8,313.2,70.2,59.400000000000006,48.6,54,0.579,0.0,0.606,0.589,14.4,17.0,2.9,0.5,0.7,2177483.0
8,Gordon Hayward,2019-2020,910.0,348.40000000000003,213.2,20.8,36.4,52,0.5,0.38299999999999995,0.855,0.595,21.1,18.1,5.7,2.7,2.0,31214295.0
9,Avery Bradley,2019-2020,421.4,112.69999999999999,63.7,4.9,44.1,49,0.444,0.364,0.833,0.537,15.7,8.9,1.5,-2.5,-0.2,4767000.0
10,Rajon Rondo,2019-2020,340.79999999999995,144.0,240.0,0.0,38.400000000000006,48,0.418,0.32799999999999996,0.659,0.494,18.7,12.4,1.4,-1.3,0.2,2564753.0
11,Elfrid Payton,2019-2020,450.0,211.5,324.0,18.0,72.0,45,0.439,0.203,0.57,0.47,19.5,16.0,1.7,0.0,0.6,8000000.0
12,Quinn Cook,2019-2020,224.39999999999998,52.8,48.400000000000006,0.0,13.2,44,0.425,0.365,0.7859999999999999,0.509,21.0,10.0,0.3,-3.8,-0.2,3000000.0
13,Nicolas Batum,2019-2020,79.2,99.0,66.0,8.8,17.6,22,0.34600000000000003,0.28600000000000003,0.9,0.46299999999999997,9.4,9.2,0.6,-1.9,0.0,23217391.5
14,Rodney Hood,2019-2020,231.0,71.39999999999999,31.5,4.2,16.8,21,0.506,0.493,0.778,0.625,13.9,12.2,1.1,-0.9,0.2,5718000.0
