NAME,SEASON,PTS,REB,AST,USG%,TS%,BLK,STL,FT%,3P%,FG%,G,PER,WS,BPM,VORP
Deyonta Davis,2018-2019,36.0,36.0,5.3999999999999995,9.8,0.682,5.3999999999999995,2.6999999999999997,0.6,0.0,0.682,9,15.6,0.4,-0.7,0.0
Dillon Brooks,2018-2019,135.0,30.599999999999998,16.2,20.5,0.499,3.6,10.799999999999999,0.733,0.375,0.402,18,7.6,0.0,-6.1,-0.3
Dion Waiters,2018-2019,528.0,114.4,123.19999999999999,21.2,0.53,8.8,30.799999999999997,0.5,0.377,0.414,44,11.4,1.2,-1.9,0.0
Dirk Nowitzki,2018-2019,372.3,158.1,35.699999999999996,21.6,0.469,20.400000000000002,10.200000000000001,0.78,0.312,0.359,51,9.6,0.3,-5.9,-0.8
Domantas Sabonis,2018-2019,1043.3999999999999,688.2,214.6,22.4,0.63,29.6,44.4,0.715,0.529,0.59,74,21.9,7.6,3.7,2.6
Donatas Motiejunas,2018-2019,6.0,3.0,0.8999999999999999,31.3,0.436,0.8999999999999999,0.0,0.0,,0.5,3,-0.5,-0.1,-11.5,0.0
Donovan Mitchell,2018-2019,1832.6000000000001,315.7,323.40000000000003,30.7,0.537,30.8,107.8,0.8059999999999999,0.36200000000000004,0.43200000000000005,77,17.2,5.0,0.6,1.7
Donte DiVincenzo,2018-2019,132.3,64.8,29.700000000000003,14.3,0.507,5.4,13.5,0.75,0.265,0.40299999999999997,27,9.1,0.6,-1.8,0.0
Donte Grantham,2018-2019,0.0,0.0,0.0,33.3,0.0,0.0,0.0,,0.0,0.0,3,-38.1,0.0,-38.9,0.0
Dorian Finney-Smith,2018-2019,607.5,388.8,97.2,13.4,0.53,32.4,72.9,0.7090000000000001,0.311,0.43200000000000005,81,11.0,3.3,0.2,1.1
Doug McDermott,2018-2019,562.1,107.8,69.3,15.0,0.617,7.7,15.4,0.835,0.408,0.491,77,11.6,2.9,-2.1,0.0
Dragan Bender,2018-2019,230.0,184.0,55.199999999999996,12.9,0.521,23.0,18.400000000000002,0.593,0.218,0.447,46,9.5,0.5,-3.4,-0.3
Draymond Green,2018-2019,488.40000000000003,481.8,455.40000000000003,12.8,0.526,72.60000000000001,92.39999999999999,0.6920000000000001,0.285,0.445,66,12.9,4.3,2.0,2.1
Drew Eubanks,2018-2019,41.4,34.5,6.8999999999999995,14.8,0.6459999999999999,4.6000000000000005,2.3000000000000003,0.846,,0.5770000000000001,23,15.1,0.3,-2.3,0.0
Duncan Robinson,2018-2019,49.5,19.5,4.5,13.3,0.514,0.0,4.5,0.667,0.28600000000000003,0.391,15,7.6,0.2,-4.2,-0.1
Dusty Hannahs,2018-2019,8.0,1.0,5.0,22.2,0.311,0.0,1.0,1.0,0.0,0.25,2,4.5,-0.1,-12.2,-0.1
Dwayne Bacon,2018-2019,313.9,90.3,47.300000000000004,16.5,0.57,4.3,12.9,0.7390000000000001,0.43700000000000006,0.475,43,11.7,1.2,-3.5,-0.3
Dwight Howard,2018-2019,115.2,82.8,3.6,19.2,0.638,3.6,7.2,0.604,,0.623,9,17.4,0.6,-5.2,-0.2
Dwight Powell,2018-2019,816.1999999999999,408.09999999999997,115.5,16.6,0.682,46.199999999999996,46.199999999999996,0.772,0.307,0.597,77,20.4,7.5,4.0,2.5
Dwyane Wade,2018-2019,1080.0,288.0,302.40000000000003,26.7,0.51,36.0,57.6,0.708,0.33,0.433,72,15.8,2.4,-0.5,0.7
Dzanan Musa,2018-2019,18.900000000000002,5.3999999999999995,1.8,25.0,0.415,0.0,1.8,0.0,0.1,0.409,9,5.8,-0.1,-10.4,-0.1
E'Twaun Moore,2018-2019,630.7,127.19999999999999,100.69999999999999,16.9,0.5670000000000001,10.600000000000001,42.400000000000006,0.763,0.43200000000000005,0.48100000000000004,53,11.5,1.7,-2.2,-0.1
Ed Davis,2018-2019,469.8,696.6,64.8,12.4,0.632,32.4,32.4,0.617,0.0,0.616,81,17.3,5.7,0.4,0.9
Edmond Sumner,2018-2019,66.7,23.0,9.200000000000001,15.6,0.44299999999999995,4.6000000000000005,11.5,0.625,0.259,0.344,23,7.6,0.1,-3.6,-0.1
Ekpe Udoh,2018-2019,117.3,91.8,25.5,12.7,0.698,30.599999999999998,10.200000000000001,0.633,,0.6940000000000001,51,20.9,1.6,5.6,0.6
Elfrid Payton,2018-2019,445.2,218.4,319.2,17.7,0.502,16.8,42.0,0.743,0.314,0.434,42,14.0,1.5,-0.9,0.4
Elie Okobo,2018-2019,302.1,95.4,127.19999999999999,16.6,0.489,5.300000000000001,31.799999999999997,0.787,0.295,0.39299999999999996,53,7.6,-0.5,-5.9,-0.9
Emanuel Terry,2018-2019,9.899999999999999,6.8999999999999995,2.0999999999999996,18.3,0.5710000000000001,0.0,3.0,0.5,,0.5710000000000001,3,19.7,0.1,1.6,0.0
Emmanuel Mudiay,2018-2019,873.2,194.7,230.1,24.7,0.531,17.7,41.3,0.774,0.32899999999999996,0.446,59,14.6,0.8,-2.4,-0.2
Enes Kanter,2018-2019,917.9,656.6,113.89999999999999,21.7,0.594,26.8,33.5,0.787,0.294,0.5489999999999999,67,22.3,5.4,1.3,1.4
Eric Bledsoe,2018-2019,1240.2,358.79999999999995,429.0,22.4,0.5770000000000001,31.200000000000003,117.0,0.75,0.32899999999999996,0.484,78,19.3,8.2,3.5,3.2
Eric Gordon,2018-2019,1101.6,149.60000000000002,129.2,21.4,0.5489999999999999,27.200000000000003,40.8,0.7829999999999999,0.36,0.409,68,12.2,2.6,-2.9,-0.5
Eric Moreland,2018-2019,7.0,20.0,4.0,11.4,0.5,1.0,1.0,,1.0,0.429,5,6.7,0.0,-4.8,0.0
Ersan Ilyasova,2018-2019,455.59999999999997,301.5,53.6,15.0,0.5479999999999999,20.099999999999998,33.5,0.8240000000000001,0.363,0.43799999999999994,67,11.6,3.0,-1.3,0.2
Evan Fournier,2018-2019,1223.1,259.2,291.6,21.6,0.536,8.1,72.9,0.8059999999999999,0.34,0.43799999999999994,81,12.3,3.2,-1.5,0.3
Evan Turner,2018-2019,496.4,328.5,284.7,15.6,0.504,14.600000000000001,36.5,0.708,0.212,0.46,73,11.6,2.0,-1.8,0.1
Frank Jackson,2018-2019,494.09999999999997,134.20000000000002,67.10000000000001,17.7,0.517,0.0,24.400000000000002,0.74,0.314,0.434,61,9.4,0.4,-5.0,-0.9
Frank Kaminsky,2018-2019,404.2,164.5,61.1,21.3,0.5870000000000001,14.1,14.1,0.738,0.36,0.46299999999999997,47,16.8,1.8,-0.9,0.2
Frank Ntilikina,2018-2019,245.1,86.0,120.39999999999999,16.2,0.41700000000000004,12.9,30.099999999999998,0.767,0.287,0.337,43,6.0,-0.8,-5.7,-0.8
Fred VanVleet,2018-2019,704.0,166.4,307.2,17.6,0.539,19.2,57.6,0.843,0.37799999999999995,0.41,64,13.7,4.3,0.0,0.9
Furkan Korkmaz,2018-2019,278.4,105.60000000000001,52.800000000000004,17.3,0.528,0.0,28.799999999999997,0.818,0.326,0.4,48,11.5,1.1,-2.2,0.0
Garrett Temple,2018-2019,585.0,217.5,105.0,13.0,0.5429999999999999,30.0,75.0,0.748,0.341,0.42200000000000004,75,8.5,2.2,-1.2,0.4
Gary Clark,2018-2019,147.9,117.3,20.400000000000002,10.5,0.48,25.5,20.400000000000002,1.0,0.297,0.331,51,9.2,1.0,-1.8,0.0
Gary Harris,2018-2019,735.3000000000001,159.6,125.4,19.4,0.526,17.099999999999998,57.0,0.799,0.33899999999999997,0.424,57,12.2,2.6,-1.8,0.1
Gary Payton II,2018-2019,11.100000000000001,2.0999999999999996,3.9000000000000004,21.4,0.688,0.8999999999999999,3.0,,0.5,0.625,3,36.9,0.1,14.9,0.1
Gary Trent Jr.,2018-2019,40.5,10.5,4.5,21.1,0.377,1.5,1.5,0.429,0.23800000000000002,0.32,15,3.6,-0.2,-10.3,-0.2
George Hill,2018-2019,456.0,150.0,138.0,14.5,0.5539999999999999,6.0,54.0,0.8240000000000001,0.314,0.452,60,12.1,2.8,-1.0,0.3
George King,2018-2019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1,1.9,0.0,-10.6,0.0
Georges Niang,2018-2019,236.0,88.5,35.4,16.7,0.613,5.9,11.8,0.833,0.41,0.475,59,13.0,1.3,-1.1,0.1
Gerald Green,2018-2019,671.5999999999999,182.5,36.5,18.9,0.555,29.200000000000003,36.5,0.838,0.354,0.4,73,11.4,1.9,-3.4,-0.5
Giannis Antetokounmpo,2018-2019,1994.3999999999999,900.0,424.8,31.1,0.644,108.0,93.60000000000001,0.7290000000000001,0.256,0.578,72,30.9,14.4,10.8,7.6
Glenn Robinson III,2018-2019,197.4,70.5,18.8,14.5,0.511,9.4,14.1,0.8,0.29,0.42,47,8.7,0.7,-4.2,-0.3
Goran Dragic,2018-2019,493.2,111.60000000000001,172.79999999999998,22.2,0.517,3.6,28.8,0.782,0.348,0.413,36,13.9,1.6,-1.2,0.2
Gordon Hayward,2018-2019,828.0,324.0,244.79999999999998,18.2,0.575,21.599999999999998,64.8,0.8340000000000001,0.33299999999999996,0.466,72,15.6,4.9,0.5,1.2
Gorgui Dieng,2018-2019,486.40000000000003,311.59999999999997,68.4,19.2,0.5720000000000001,38.0,45.6,0.83,0.33899999999999997,0.501,76,18.1,2.8,0.5,0.7
Grayson Allen,2018-2019,212.79999999999998,22.8,26.599999999999998,23.4,0.516,7.6000000000000005,7.6000000000000005,0.75,0.32299999999999995,0.376,38,7.5,0.0,-6.8,-0.5
Greg Monroe,2018-2019,227.9,172.0,25.8,20.9,0.521,8.6,12.9,0.625,0.2,0.48700000000000004,43,16.0,1.1,-3.6,-0.2
Guerschon Yabusele,2018-2019,94.3,53.300000000000004,16.400000000000002,16.7,0.542,8.200000000000001,8.200000000000001,0.682,0.321,0.455,41,12.4,0.5,-2.1,0.0
Hamidou Diallo,2018-2019,188.70000000000002,96.89999999999999,15.299999999999999,15.9,0.49700000000000005,10.200000000000001,20.400000000000002,0.61,0.16699999999999998,0.455,51,10.1,0.8,-4.7,-0.4
Harrison Barnes,2018-2019,1262.8,361.90000000000003,115.5,20.2,0.55,15.4,46.199999999999996,0.8240000000000001,0.395,0.42,77,12.8,3.6,-2.3,-0.2
Hassan Whiteside,2018-2019,885.6,813.6,57.6,21.4,0.564,136.79999999999998,43.199999999999996,0.449,0.125,0.5710000000000001,72,23.5,6.3,0.8,1.2
Haywood Highsmith,2018-2019,9.0,5.0,2.0,11.5,0.414,0.0,1.0,0.0,0.2,0.4,5,4.5,0.0,-7.3,-0.1
Henry Ellenson,2018-2019,114.0,66.5,15.200000000000001,18.6,0.5379999999999999,1.9000000000000001,7.6000000000000005,0.76,0.447,0.41100000000000003,19,13.1,0.4,-4.0,-0.1
Ian Clark,2018-2019,402.0,90.0,96.0,18.4,0.502,6.0,24.0,0.892,0.327,0.39399999999999996,60,8.3,-0.1,-5.1,-0.8
Ian Mahinmi,2018-2019,139.39999999999998,129.2,23.799999999999997,12.7,0.531,17.0,23.799999999999997,0.6890000000000001,0.188,0.452,34,12.0,1.0,-1.0,0.1
Ike Anigbogu,2018-2019,0.0,3.0,0.8999999999999999,26.7,0.0,0.8999999999999999,0.0,,,0.0,3,-6.0,-0.1,-14.0,0.0
Iman Shumpert,2018-2019,465.0,186.0,111.60000000000001,14.2,0.499,24.8,62.0,0.8,0.348,0.374,62,9.1,1.4,-1.4,0.2
Isaac Bonga,2018-2019,19.8,24.200000000000003,15.399999999999999,15.0,0.24,4.4,8.8,0.6,0.0,0.152,22,6.0,-0.1,-4.3,-0.1
Isaac Humphries,2018-2019,15.0,11.0,0.0,14.1,0.35700000000000004,0.0,1.0,,0.273,0.28600000000000003,5,3.4,-0.1,-12.8,-0.2
Isaiah Briscoe,2018-2019,136.5,74.1,85.80000000000001,13.7,0.455,3.9000000000000004,11.7,0.5770000000000001,0.324,0.39899999999999997,39,6.7,0.3,-5.6,-0.5
Isaiah Canaan,2018-2019,180.0,57.0,84.0,14.5,0.518,3.0,15.0,0.792,0.354,0.39,30,8.0,0.1,-5.1,-0.5
Isaiah Hartenstein,2018-2019,53.199999999999996,47.6,14.0,11.1,0.562,11.200000000000001,8.4,0.7859999999999999,0.33299999999999996,0.488,28,10.0,0.5,-0.6,0.1
Isaiah Hicks,2018-2019,12.0,6.8999999999999995,2.0999999999999996,15.3,0.588,3.0,0.8999999999999999,0.8,,0.5,3,17.4,0.1,0.6,0.0
Isaiah Thomas,2018-2019,97.19999999999999,13.200000000000001,22.799999999999997,27.2,0.43700000000000006,1.2000000000000002,4.800000000000001,0.63,0.27899999999999997,0.34299999999999997,12,7.0,-0.3,-8.7,-0.3
Ish Smith,2018-2019,498.40000000000003,145.6,201.6,19.2,0.485,11.200000000000001,28.0,0.758,0.326,0.419,56,11.8,1.7,-2.8,-0.3
Ivan Rabb,2018-2019,284.2,205.8,53.900000000000006,16.4,0.586,14.7,14.7,0.71,0.2,0.547,49,16.1,2.1,-0.6,0.2
Ivica Zubac,2018-2019,525.1,359.9,64.9,19.8,0.604,53.1,11.8,0.802,,0.5589999999999999,59,18.9,3.2,-0.3,0.5
J.J. Barea,2018-2019,414.2,95.0,212.79999999999998,26.0,0.495,0.0,22.8,0.705,0.297,0.418,38,16.3,1.0,-1.1,0.2
J.P. Macura,2018-2019,6.0,3.0,2.0,20.9,0.33299999999999996,0.0,0.0,,0.0,0.33299999999999996,2,5.7,0.0,-10.5,0.0
JaKarr Sampson,2018-2019,80.0,32.0,4.0,23.4,0.633,3.2,4.0,0.81,0.35700000000000004,0.537,4,22.5,0.5,-1.5,0.0
JaMychal Green,2018-2019,611.0,409.5,52.0,18.4,0.5870000000000001,32.5,45.5,0.792,0.40299999999999997,0.483,65,14.7,2.9,-1.5,0.2
JaVale McGee,2018-2019,900.0,562.5,52.5,19.5,0.634,150.0,45.0,0.632,0.083,0.624,75,21.8,5.9,1.9,1.7
Jabari Parker,2018-2019,928.0,422.4,153.6,23.5,0.56,32.0,44.8,0.7120000000000001,0.313,0.493,64,15.5,1.4,-2.1,0.0
Jacob Evans,2018-2019,39.0,24.0,24.0,13.4,0.374,3.0,6.0,0.0,0.267,0.34,30,3.5,-0.1,-6.9,-0.3
Jae Crowder,2018-2019,952.0,384.0,136.0,18.3,0.5379999999999999,32.0,64.0,0.721,0.331,0.39899999999999997,80,12.1,4.4,0.4,1.3
Jahlil Okafor,2018-2019,483.79999999999995,277.3,41.3,19.6,0.603,41.3,17.7,0.6629999999999999,0.2,0.586,59,17.9,2.2,-2.3,-0.1
Jake Layman,2018-2019,539.6,220.1,49.699999999999996,15.4,0.594,28.400000000000002,28.400000000000002,0.7040000000000001,0.326,0.509,71,13.5,3.1,-0.3,0.6
Jakob Poeltl,2018-2019,423.5,408.09999999999997,92.39999999999999,12.3,0.64,69.3,30.8,0.5329999999999999,,0.645,77,19.4,5.1,4.2,2.0
Jalen Brunson,2018-2019,678.9000000000001,167.89999999999998,233.60000000000002,18.5,0.5489999999999999,7.300000000000001,36.5,0.725,0.348,0.467,73,12.8,2.6,-2.5,-0.2
Jamal Crawford,2018-2019,505.6,83.2,230.4,19.6,0.522,12.8,32.0,0.845,0.332,0.397,64,11.7,0.2,-6.0,-1.2
Jamal Murray,2018-2019,1365.0,315.0,360.0,23.9,0.5379999999999999,30.0,67.5,0.848,0.36700000000000005,0.43700000000000006,75,16.0,5.1,0.1,1.3
James Harden,2018-2019,2815.8,514.8,585.0,39.5,0.616,54.599999999999994,156.0,0.879,0.368,0.442,78,30.6,15.2,11.7,9.9
James Johnson,2018-2019,429.0,176.0,137.5,17.6,0.522,27.5,33.0,0.7140000000000001,0.336,0.433,55,10.9,1.5,-1.6,0.1
James Nunnally,2018-2019,36.0,4.5,7.5,15.1,0.503,0.0,1.5,1.0,0.32,0.353,15,7.3,0.1,-6.4,-0.1
Jared Dudley,2018-2019,289.1,153.4,82.6,10.3,0.5539999999999999,17.7,35.4,0.696,0.35100000000000003,0.423,59,7.8,1.8,-0.7,0.4
Jared Terrell,2018-2019,30.800000000000004,5.6000000000000005,12.6,19.5,0.37200000000000005,1.4000000000000001,2.8000000000000003,0.5,0.235,0.308,14,0.7,-0.3,-10.4,-0.2
Jarell Martin,2018-2019,113.4,71.39999999999999,16.8,15.2,0.528,8.4,4.2,0.818,0.35100000000000003,0.413,42,9.4,0.5,-3.9,-0.2
Jaren Jackson Jr.,2018-2019,800.4000000000001,272.6,63.800000000000004,22.9,0.591,81.19999999999999,52.2,0.7659999999999999,0.359,0.506,58,16.4,3.3,0.1,0.8
Jaron Blossomgame,2018-2019,113.4,97.2,13.5,11.9,0.51,8.1,8.1,0.769,0.256,0.44299999999999995,27,10.2,0.3,-4.5,-0.3
Jarred Vanderbilt,2018-2019,23.799999999999997,23.799999999999997,3.4000000000000004,17.8,0.513,1.7000000000000002,6.800000000000001,0.6,0.0,0.474,17,12.4,0.1,-4.0,0.0
Jarrett Allen,2018-2019,872.0,672.0,112.0,15.7,0.632,120.0,40.0,0.7090000000000001,0.133,0.59,80,18.5,7.6,2.5,2.4
Jason Smith,2018-2019,66.0,52.0,14.0,16.8,0.49200000000000005,8.0,4.0,0.875,0.34600000000000003,0.35600000000000004,20,9.8,0.2,-4.3,-0.1
Jawun Evans,2018-2019,6.4,12.0,10.4,13.7,0.214,0.0,3.2,,0.0,0.214,8,0.1,-0.2,-10.5,-0.1
Jaylen Adams,2018-2019,108.80000000000001,61.2,64.6,12.9,0.474,3.4000000000000004,13.600000000000001,0.778,0.33799999999999997,0.345,34,7.6,0.1,-4.4,-0.3
Jaylen Brown,2018-2019,962.0,310.8,103.6,21.3,0.547,29.6,66.60000000000001,0.6579999999999999,0.344,0.465,74,13.5,3.0,-2.1,0.0
Jayson Tatum,2018-2019,1240.3,474.0,165.9,21.7,0.547,55.3,86.9,0.855,0.373,0.45,79,15.1,5.0,-0.8,0.8
Jeff Green,2018-2019,947.1,308.0,138.6,17.3,0.608,38.5,46.199999999999996,0.888,0.34700000000000003,0.475,77,13.6,3.6,-1.2,0.4
Jeff Teague,2018-2019,508.2,105.0,344.4,18.5,0.528,16.8,42.0,0.804,0.33299999999999996,0.423,42,15.4,2.2,-2.4,-0.1
Jemerrio Jones,2018-2019,27.0,49.199999999999996,13.200000000000001,10.8,0.39799999999999996,4.800000000000001,7.199999999999999,0.5,0.2,0.364,6,12.1,0.2,0.8,0.1
Jerami Grant,2018-2019,1088.0,416.0,80.0,14.9,0.5920000000000001,104.0,64.0,0.71,0.392,0.49700000000000005,80,13.8,7.3,0.3,1.5
Jeremy Lamb,2018-2019,1208.7,434.5,173.8,21.9,0.552,31.6,86.9,0.888,0.348,0.44,79,17.3,5.3,0.1,1.2
Jeremy Lin,2018-2019,710.4,177.6,229.4,21.1,0.5579999999999999,14.8,44.4,0.838,0.294,0.44,74,13.5,2.1,-2.9,-0.3
Jerian Grant,2018-2019,252.0,96.0,156.0,12.9,0.526,6.0,42.0,0.65,0.364,0.418,60,10.8,1.7,-2.0,0.0
Jerome Robinson,2018-2019,112.2,39.6,19.8,15.8,0.491,3.3000000000000003,9.9,0.667,0.316,0.4,33,7.2,0.1,-4.3,-0.2
Jerryd Bayless,2018-2019,207.39999999999998,61.2,119.0,17.1,0.431,3.4000000000000004,17.0,0.5710000000000001,0.29600000000000004,0.35700000000000004,34,8.5,0.0,-5.1,-0.5
Jevon Carter,2018-2019,171.60000000000002,66.3,70.2,17.0,0.43200000000000005,11.7,27.299999999999997,0.813,0.33299999999999996,0.303,39,7.8,0.0,-4.0,-0.3
Jimmer Fredette,2018-2019,22.200000000000003,7.199999999999999,7.800000000000001,23.7,0.348,0.0,3.0,1.0,0.0,0.276,6,3.6,-0.2,-11.1,-0.1
Jimmy Butler,2018-2019,1215.5,344.5,260.0,21.7,0.5710000000000001,39.0,123.5,0.855,0.34700000000000003,0.462,65,20.2,7.9,3.2,2.9
Joakim Noah,2018-2019,298.2,239.4,88.2,18.8,0.5710000000000001,29.4,21.0,0.716,0.0,0.516,42,18.6,2.2,1.6,0.6
Jodie Meeks,2018-2019,51.2,12.0,8.0,16.9,0.647,0.8,0.8,1.0,0.444,0.5379999999999999,8,16.0,0.3,-0.8,0.0
Joe Chealey,2018-2019,2.0,0.0,1.0,17.6,0.33299999999999996,0.0,0.0,,,0.33299999999999996,1,2.0,0.0,-17.2,0.0
Joe Harris,2018-2019,1041.2,288.8,182.4,16.6,0.645,15.200000000000001,38.0,0.8270000000000001,0.474,0.5,76,13.5,5.5,1.0,1.7
Joe Ingles,2018-2019,992.1999999999999,328.0,467.40000000000003,16.9,0.581,16.400000000000002,98.39999999999999,0.7070000000000001,0.391,0.44799999999999995,82,13.4,6.0,1.8,2.5
